State,Region,Symptom,RecommendedFood,Avoid,Nutrients,BloodGroupAdjustment,Season,Tip
Assam,Northeast,pain,"Arissi Puttu Rice Flour Coconut, Raw Banana Soup","Spicy foods, Milk","Vitamin C, Caffeine, Omega-3",O+: Increase iron intake from leafy greens and lentils,summer,Hydrate with herbal teas
Delhi,North,fatigue,"Finger Millet Idli Ragi, Sesame Seeds Nuts, Leafy Greens",Carbonated drinks,"Folate, Vitamins A C B1",A+: Focus on lighter proteins like tofu,summer,Hot beverages for warmth
Haryana,North,fatigue,"Ginger tea, Hot Tea",Milk,"Vitamin E, Vitamin C",A+: Focus on lighter proteins like tofu,summer,Millet porridge
Punjab,North,heavy bleeding,"Seem Paal Bovine Colostrum, Cucumber Coconut Water, Banana","Pickles, Lassi",Calcium,A+: Focus on lighter proteins like tofu,summer,Iron-rich greens
Himachal Pradesh,North,pain,Spinach Methi Greens,Sugarcane,Magnesium,B+: Emphasize whole grains and vegetables,winter,Soups with spices
Jammu & Kashmir,North,heavy bleeding,"Ragi roti, Raw Egg Yolk with Sesame Oil","Processed foods, Milk","Zinc, Omega-3",AB+: Balance with fermented foods,winter,Urban access to fresh produce
Kerala,South,fatigue,"Black Sesame with Cane Sugar, Millets Bajra Porridge, Banana",High salt,Potassium,B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
Tamil Nadu,South,heavy bleeding,"Black Sesame with Cane Sugar, Palm Jaggery Porridge, Parupu Urundai Toor Dal Balls","Red meat, Spicy foods","Folate, Fiber",O+: Increase iron intake from leafy greens and lentils,winter,Light meals
Karnataka,South,fatigue,"Sesame Seeds Nuts, Ragi roti","Carbonated drinks, Red meat","Potassium, Vitamin E",O+: Increase iron intake from leafy greens and lentils,winter,Coconut water
Andhra Pradesh,South,cramps,"Sarkkarachoru, Millets Bajra Porridge, Dal with Greens",Chicken,"Omega-3, Fiber",AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Telangana,South,heavy bleeding,Lentils Dal,"Cabbage, Raw vegetables","Potassium, Phytoestrogens, Protein",A+: Focus on lighter proteins like tofu,winter,Warm dosa variations
Maharashtra,West,pain,"Seem Paal Bovine Colostrum, Light Fish Curry",Heavy fried foods,"Vitamins A C B1, Fiber, Caffeine",A+: Focus on lighter proteins like tofu,summer,Add coconut water for hydration
Gujarat,West,fatigue,"Sesame Seeds Nuts, Peppermint water, Finger Millet Idli Ragi","Onion, Spicy foods",Vitamin C,O+: Increase iron intake from leafy greens and lentils,winter,Pair with vitamin C fruits
Rajasthan,West,cramps,"Ragi Porridge, Millets Bajra Porridge","Onion, Milk","Zinc, Fiber, Folate",AB+: Balance with fermented foods,summer,Local affordable greens
Madhya Pradesh,Central,cramps,"Arissi Puttu Rice Flour Coconut, Parupu Urundai Toor Dal Balls","Curd, Non-veg","Caffeine, Calcium, Antioxidants",A+: Focus on lighter proteins like tofu,summer,Cucumber and hydration focus
Uttar Pradesh,North,cramps,"Peppermint water, Banana Ragi Roti","Curd, Pickles","Omega-3, Potassium, Vitamin E",B+: Emphasize whole grains and vegetables,winter,Cucumber and hydration focus
Bihar,East,fatigue,"Ulunthu Kali Urad Dhal Porridge, Hot Tea, Sesame Seeds Nuts",High salt,Omega-3,AB+: Balance with fermented foods,winter,Urban access to fresh produce
West Bengal,East,bloating,Cucumber Coconut Water,"Tamarind, Cold foods","Zinc, Vitamin E",B+: Emphasize whole grains and vegetables,summer,Warm dosa variations
Odisha,East,heavy bleeding,Finger Millet Idli Ragi,Pickles,"Caffeine, Antioxidants, Folate",B+: Emphasize whole grains and vegetables,summer,Local affordable greens
Jharkhand,East,heavy bleeding,"Ginger tea, Banana Ragi Roti, Ragi roti","High salt, Raw vegetables","Omega-3, Phytoestrogens",O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Assam,Northeast,heavy bleeding,"Ulunthu Kali Urad Dhal Porridge, Light Fish Curry","Spicy foods, Milk products in excess","Vitamins A C B1, Magnesium, Folate",AB+: Balance with fermented foods,winter,Urban access to fresh produce
Delhi,North,bloating,"Lentils Dal, Seem Paal Bovine Colostrum, Parupu Urundai Toor Dal Balls",Potatoes,Folate,O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Haryana,North,fatigue,Dark chocolate,Red meat,"Folate, Protein",O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Punjab,North,bloating,Banana,"Milk, Cold foods","Vitamin E, Calcium",O+: Increase iron intake from leafy greens and lentils,winter,Millet porridge
Himachal Pradesh,North,cramps,"Spinach Methi Greens, Ulunthu Kali Urad Dhal Porridge",Carbonated drinks,"Vitamin C, Phytoestrogens",AB+: Balance with fermented foods,summer,Hot beverages for warmth
Jammu & Kashmir,North,pain,Light Fish Curry,"Cabbage, Spicy foods",Zinc,O+: Increase iron intake from leafy greens and lentils,winter,Hydration focus
Kerala,South,bloating,"Spinach Methi Greens, Finger Millet Idli Ragi, Ginger tea",Heavy fried foods,"Folate, Protein, Fiber",AB+: Balance with fermented foods,summer,Iron-rich greens
Tamil Nadu,South,cramps,Lentils Dal,Cold foods,"Calcium, Magnesium",AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Karnataka,South,pain,"Ragi Porridge, Cucumber Coconut Water, Dark chocolate","Non-veg, Heavy fried foods","Magnesium, Phytoestrogens, Zinc",AB+: Balance with fermented foods,summer,Monsoon hydration
Andhra Pradesh,South,cramps,"Tea with Ghee, Ulunthu Kali Urad Dhal Porridge, Banana",Processed foods,Vitamins A C B1,A+: Focus on lighter proteins like tofu,winter,Iron-rich greens
Telangana,South,cramps,Sarkkarachoru,"Chicken, Processed foods",Vitamins A C B1,AB+: Balance with fermented foods,winter,Seed mixes
Maharashtra,West,fatigue,Seem Paal Bovine Colostrum,Heavy fried foods,"Fiber, Antioxidants",A+: Focus on lighter proteins like tofu,summer,Hot beverages for warmth
Gujarat,West,pain,"Seem Paal Bovine Colostrum, Spinach Methi Greens, Ragi roti","Heavy fats, Spicy foods","Caffeine, Antioxidants",AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Rajasthan,West,fatigue,"Ragi roti, Peppermint water",Carbonated drinks,"Phytoestrogens, Iron, Zinc",AB+: Balance with fermented foods,summer,Millet porridge
Madhya Pradesh,Central,cramps,Parupu Urundai Toor Dal Balls,"Cold foods, Raw vegetables","Caffeine, Zinc, Iron",B+: Emphasize whole grains and vegetables,summer,Plenty of water
Uttar Pradesh,North,heavy bleeding,Leafy Greens,Rice,Magnesium,B+: Emphasize whole grains and vegetables,summer,Monsoon hydration
Bihar,East,fatigue,Sarkkarachoru,Onion,"Vitamin E, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,winter,Soups with spices
West Bengal,East,heavy bleeding,"Raw Banana Soup, Uluva Verakiyath Fenugreek Porridge, Arissi Puttu Rice Flour Coconut","Sugarcane, Red meat","Calcium, Omega-3",AB+: Balance with fermented foods,summer,Cucumber for hydration
Odisha,East,pain,"Black Sesame with Cane Sugar, Banana, Sesame Seeds Nuts",Carbonated drinks,"Iron, Magnesium",AB+: Balance with fermented foods,summer,Millet porridge
Jharkhand,East,fatigue,Sarkkarachoru,Pickles,"Caffeine, Folate",A+: Focus on lighter proteins like tofu,winter,Add coconut water for hydration
Assam,Northeast,heavy bleeding,"Ragi Porridge, Peppermint water",Chicken,"Vitamins A C B1, Fiber, Vitamin C",O+: Increase iron intake from leafy greens and lentils,summer,Avoid tamarind-based curries
Delhi,North,cramps,Sarkkarachoru,Pickles,"Folate, Potassium",O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Haryana,North,pain,Spinach Methi Greens,Heavy fats,Potassium,O+: Increase iron intake from leafy greens and lentils,winter,Plenty of water
Punjab,North,bloating,Cucumber Coconut Water,"Milk products in excess, Cold foods",Omega-3,B+: Emphasize whole grains and vegetables,winter,Soups with spices
Himachal Pradesh,North,bloating,Banana,Processed foods,"Iron, Calcium",AB+: Balance with fermented foods,summer,Hot beverages for warmth
Jammu & Kashmir,North,cramps,"Dal with Greens, Plenty of Water, Dark chocolate",Onion,Magnesium,A+: Focus on lighter proteins like tofu,winter,Pair with vitamin C fruits
Kerala,South,heavy bleeding,"Arissi Puttu Rice Flour Coconut, Peppermint water, Avilvilayichathu Rice Flakes Mixture","Lassi, Raw vegetables","Magnesium, Fiber",B+: Emphasize whole grains and vegetables,summer,Warm spices for digestion
Tamil Nadu,South,cramps,Tea with Ghee,"Rice, Sugarcane","Iron, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Include vallarai leaves for energy
Karnataka,South,bloating,"Sarkkarachoru, Peppermint water, Palm Jaggery Porridge",Chicken,"Zinc, Vitamin C",A+: Focus on lighter proteins like tofu,winter,Coconut water
Andhra Pradesh,South,heavy bleeding,"Dark chocolate, Cucumber Coconut Water, Finger Millet Idli Ragi",Milk,"Antioxidants, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,summer,Monsoon hydration
Telangana,South,pain,"Lentils Dal, Seem Paal Bovine Colostrum, Palm Jaggery Porridge",Cold foods,"Phytoestrogens, Fiber, Potassium",B+: Emphasize whole grains and vegetables,winter,Monsoon hydration
Maharashtra,West,fatigue,"Hot Tea, Arissi Puttu Rice Flour Coconut",Sour foods,Fiber,AB+: Balance with fermented foods,summer,Cucumber and hydration focus
Gujarat,West,cramps,Sarkkarachoru,"High salt, Non-veg","Vitamins A C B1, Caffeine",B+: Emphasize whole grains and vegetables,summer,Cucumber for hydration
Rajasthan,West,heavy bleeding,Ragi Porridge,"Cold foods, Milk products in excess",Omega-3,AB+: Balance with fermented foods,winter,Millet porridge
Madhya Pradesh,Central,cramps,"Avilvilayichathu Rice Flakes Mixture, Light Fish Curry, Tea with Ghee",Onion,"Vitamin E, Omega-3",B+: Emphasize whole grains and vegetables,winter,Millet porridge
Uttar Pradesh,North,heavy bleeding,"Banana Ragi Roti, Spinach Methi Greens, Vegetable Rice",Curd,"Folate, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,winter,Warm soups
Bihar,East,cramps,"Tea with Ghee, Palm Jaggery Porridge","Heavy fats, Carbonated drinks","Vitamins A C B1, Vitamin E, Folate",AB+: Balance with fermented foods,winter,Warm spices for digestion
West Bengal,East,bloating,"Banana Ragi Roti, Finger Millet Idli Ragi, Raw Egg Yolk with Sesame Oil","Milk, Sour foods",Fiber,O+: Increase iron intake from leafy greens and lentils,winter,Cucumber for hydration
Odisha,East,fatigue,"Lentils Dal, Dal with Greens, Banana Ragi Roti",Spicy foods,"Folate, Vitamins A C B1",B+: Emphasize whole grains and vegetables,winter,Add coconut water for hydration
Jharkhand,East,fatigue,Sarkkarachoru,Milk,"Zinc, Potassium, Fiber",B+: Emphasize whole grains and vegetables,summer,Include vallarai leaves for energy
Assam,Northeast,cramps,Cucumber Coconut Water,Pickles,Potassium,A+: Focus on lighter proteins like tofu,summer,Prefer warm sesame seed soups
Delhi,North,cramps,"Vegetable Rice, Finger Millet Idli Ragi, Cucumber Coconut Water","High salt, Rice","Iron, Vitamins A C B1",A+: Focus on lighter proteins like tofu,winter,Include vallarai leaves for energy
Haryana,North,fatigue,Banana,Cold foods,"Vitamin E, Antioxidants",O+: Increase iron intake from leafy greens and lentils,winter,Add coconut water for hydration
Punjab,North,fatigue,"Ginger tea, Leafy Greens, Dal with Greens",Rice,"Folate, Zinc",A+: Focus on lighter proteins like tofu,summer,Add coconut water for hydration
Himachal Pradesh,North,bloating,"Spinach Methi Greens, Banana, Leafy Greens",Cabbage,"Folate, Antioxidants",AB+: Balance with fermented foods,summer,Urban access to fresh produce
Jammu & Kashmir,North,heavy bleeding,Ulunthu Kali Urad Dhal Porridge,"Tamarind, Potatoes","Magnesium, Calcium, Vitamin C",O+: Increase iron intake from leafy greens and lentils,winter,Coconut water
Kerala,South,pain,Vegetable Rice,"High salt, Heavy fats","Vitamin C, Caffeine, Calcium",A+: Focus on lighter proteins like tofu,summer,Pair with vitamin C fruits
Tamil Nadu,South,cramps,Vegetable Rice,"Chicken, High salt","Iron, Vitamin E, Vitamin C",O+: Increase iron intake from leafy greens and lentils,winter,Soups with spices
Karnataka,South,pain,"Arissi Puttu Rice Flour Coconut, Raw Banana Soup","Raw vegetables, Processed foods",Vitamins A C B1,B+: Emphasize whole grains and vegetables,summer,Iron-rich greens
Andhra Pradesh,South,heavy bleeding,"Karupettikurukku Black Sesame Preparation, Ulunthu Kali Urad Dhal Porridge",Tamarind,"Zinc, Calcium, Iron",O+: Increase iron intake from leafy greens and lentils,winter,Warm soups
Telangana,South,heavy bleeding,Ginger tea,"Cold foods, Red meat","Magnesium, Vitamins A C B1",B+: Emphasize whole grains and vegetables,summer,Light meals
Maharashtra,West,fatigue,"Avilvilayichathu Rice Flakes Mixture, Sesame Seeds Nuts","Heavy fried foods, Non-veg","Fiber, Zinc",B+: Emphasize whole grains and vegetables,winter,Light meals
Gujarat,West,fatigue,"Palm Jaggery Porridge, Millets Bajra Porridge","Rice, Tamarind",Caffeine,O+: Increase iron intake from leafy greens and lentils,summer,Monsoon hydration
Rajasthan,West,pain,"Plenty of Water, Palm Jaggery Porridge","Red meat, Processed foods","Fiber, Magnesium",A+: Focus on lighter proteins like tofu,summer,Plenty of water
Madhya Pradesh,Central,heavy bleeding,Ulunthu Kali Urad Dhal Porridge,Spicy foods,"Phytoestrogens, Antioxidants",B+: Emphasize whole grains and vegetables,summer,Leafy greens for iron
Uttar Pradesh,North,bloating,Millets Bajra Porridge,Raw vegetables,"Folate, Zinc",AB+: Balance with fermented foods,winter,Soups with spices
Bihar,East,cramps,Palm Jaggery Porridge,Heavy fats,"Magnesium, Protein",A+: Focus on lighter proteins like tofu,winter,Warm soups
West Bengal,East,heavy bleeding,"Raw Banana Soup, Spinach Methi Greens",Heavy fried foods,"Vitamin C, Phytoestrogens",B+: Emphasize whole grains and vegetables,winter,Plenty of water
Odisha,East,heavy bleeding,Spinach Methi Greens,Raw vegetables,Folate,A+: Focus on lighter proteins like tofu,summer,Warm dosa variations
Jharkhand,East,bloating,Lentils Dal,"Non-veg, Milk","Magnesium, Antioxidants",B+: Emphasize whole grains and vegetables,winter,Prefer warm sesame seed soups
Assam,Northeast,heavy bleeding,Tea with Ghee,"Spicy foods, Potatoes","Caffeine, Folate",B+: Emphasize whole grains and vegetables,summer,Monsoon hydration
Delhi,North,pain,"Raw Banana Soup, Tea with Ghee","High salt, Curd",Folate,B+: Emphasize whole grains and vegetables,summer,Urban access to fresh produce
Haryana,North,fatigue,"Plenty of Water, Peppermint water",Cabbage,Caffeine,B+: Emphasize whole grains and vegetables,winter,Cucumber for hydration
Punjab,North,bloating,Dark chocolate,"Milk, Raw vegetables","Iron, Magnesium, Calcium",AB+: Balance with fermented foods,winter,Prefer warm sesame seed soups
Himachal Pradesh,North,cramps,"Millets Bajra Porridge, Uluva Verakiyath Fenugreek Porridge",Rice,"Vitamins A C B1, Vitamin C",AB+: Balance with fermented foods,winter,Plenty of water
Jammu & Kashmir,North,pain,"Seem Paal Bovine Colostrum, Avilvilayichathu Rice Flakes Mixture","Heavy fried foods, Pickles","Vitamin C, Phytoestrogens, Calcium",B+: Emphasize whole grains and vegetables,winter,Hydrate with herbal teas
Kerala,South,bloating,"Light Fish Curry, Ragi roti, Hot Tea",Milk products in excess,Folate,A+: Focus on lighter proteins like tofu,summer,Hydrate with herbal teas
Tamil Nadu,South,fatigue,"Leafy Greens, Ragi roti",Processed foods,Fiber,A+: Focus on lighter proteins like tofu,summer,Millet porridge
Karnataka,South,heavy bleeding,"Dal with Greens, Spinach Methi Greens","Lassi, Carbonated drinks",Antioxidants,AB+: Balance with fermented foods,summer,Include vallarai leaves for energy
Andhra Pradesh,South,heavy bleeding,"Lentils Dal, Spinach Methi Greens","Milk products in excess, Spicy foods","Zinc, Caffeine",AB+: Balance with fermented foods,summer,Coconut water
Telangana,South,cramps,Lentils Dal,Sour foods,"Magnesium, Vitamin C",A+: Focus on lighter proteins like tofu,winter,Coconut water
Maharashtra,West,pain,Cucumber Coconut Water,"Heavy fats, Raw vegetables","Magnesium, Vitamin C, Caffeine",O+: Increase iron intake from leafy greens and lentils,winter,Pair with vitamin C fruits
Gujarat,West,fatigue,"Millets Bajra Porridge, Vegetable Rice, Light Fish Curry",High salt,"Magnesium, Fiber, Calcium",B+: Emphasize whole grains and vegetables,summer,Warm tapioca dishes
Rajasthan,West,cramps,"Banana Ragi Roti, Ulunthu Kali Urad Dhal Porridge, Tea with Ghee","Cabbage, Spicy foods","Protein, Phytoestrogens, Calcium",B+: Emphasize whole grains and vegetables,winter,Millet porridge
Madhya Pradesh,Central,fatigue,Millets Bajra Porridge,Heavy fats,Omega-3,A+: Focus on lighter proteins like tofu,summer,Cucumber for hydration
Uttar Pradesh,North,pain,"Avilvilayichathu Rice Flakes Mixture, Ginger tea","Sour foods, Spicy foods",Caffeine,B+: Emphasize whole grains and vegetables,winter,Soups with spices
Bihar,East,pain,Parupu Urundai Toor Dal Balls,"Potatoes, Carbonated drinks","Magnesium, Vitamin E, Phytoestrogens",B+: Emphasize whole grains and vegetables,summer,Prefer warm sesame seed soups
West Bengal,East,bloating,"Tea with Ghee, Millets Bajra Porridge","Milk, High salt","Phytoestrogens, Calcium, Fiber",B+: Emphasize whole grains and vegetables,summer,Warm tapioca dishes
Odisha,East,heavy bleeding,Dal with Greens,Cold foods,"Potassium, Calcium",B+: Emphasize whole grains and vegetables,summer,Monsoon hydration
Jharkhand,East,cramps,Karupettikurukku Black Sesame Preparation,"Processed foods, Chicken","Protein, Vitamin E",O+: Increase iron intake from leafy greens and lentils,summer,Warm spices for digestion
Assam,Northeast,pain,Dark chocolate,High salt,"Protein, Calcium, Antioxidants",A+: Focus on lighter proteins like tofu,summer,Monsoon hydration
Delhi,North,fatigue,"Sarkkarachoru, Uluva Verakiyath Fenugreek Porridge","Heavy fried foods, Cold foods",Omega-3,B+: Emphasize whole grains and vegetables,summer,Seasonal fruits for vitamin C
Haryana,North,bloating,"Plenty of Water, Leafy Greens",Tamarind,Calcium,B+: Emphasize whole grains and vegetables,winter,Plenty of water
Punjab,North,cramps,"Light Fish Curry, Tea with Ghee, Dark chocolate",Cabbage,"Magnesium, Omega-3, Antioxidants",A+: Focus on lighter proteins like tofu,winter,Seed mixes
Himachal Pradesh,North,pain,Avilvilayichathu Rice Flakes Mixture,"Milk, Non-veg","Caffeine, Calcium, Zinc",O+: Increase iron intake from leafy greens and lentils,winter,Warm dosa variations
Jammu & Kashmir,North,heavy bleeding,Arissi Puttu Rice Flour Coconut,Onion,Magnesium,O+: Increase iron intake from leafy greens and lentils,winter,Warm tapioca dishes
Kerala,South,fatigue,"Banana, Dal with Greens","Heavy fats, Sugarcane",Iron,A+: Focus on lighter proteins like tofu,winter,Cucumber for hydration
Tamil Nadu,South,pain,"Black Sesame with Cane Sugar, Raw Egg Yolk with Sesame Oil, Palm Jaggery Porridge",Curd,"Zinc, Magnesium",AB+: Balance with fermented foods,summer,Include vallarai leaves for energy
Karnataka,South,fatigue,"Ragi Porridge, Dark chocolate",High salt,"Magnesium, Folate",AB+: Balance with fermented foods,summer,Light meals
Andhra Pradesh,South,cramps,"Avilvilayichathu Rice Flakes Mixture, Seem Paal Bovine Colostrum",Onion,"Potassium, Calcium",B+: Emphasize whole grains and vegetables,summer,Warm spices for digestion
Telangana,South,bloating,"Hot Tea, Parupu Urundai Toor Dal Balls, Black Sesame with Cane Sugar",Rice,"Antioxidants, Omega-3",A+: Focus on lighter proteins like tofu,winter,Seed mixes
Maharashtra,West,heavy bleeding,"Avilvilayichathu Rice Flakes Mixture, Plenty of Water, Banana","Sour foods, Potatoes",Vitamins A C B1,AB+: Balance with fermented foods,winter,Warm spices for digestion
Gujarat,West,cramps,"Ginger tea, Millets Bajra Porridge",Onion,Omega-3,A+: Focus on lighter proteins like tofu,summer,Seed mixes
Rajasthan,West,cramps,"Cucumber Coconut Water, Tea with Ghee, Seem Paal Bovine Colostrum","Cabbage, Pickles",Phytoestrogens,B+: Emphasize whole grains and vegetables,winter,Cucumber for hydration
Madhya Pradesh,Central,cramps,Banana Ragi Roti,"Processed foods, Potatoes","Zinc, Vitamin C",AB+: Balance with fermented foods,summer,Local affordable greens
Uttar Pradesh,North,heavy bleeding,Hot Tea,"Curd, Lassi","Antioxidants, Protein, Vitamin C",AB+: Balance with fermented foods,winter,Add coconut water for hydration
Bihar,East,pain,"Tea with Ghee, Light Fish Curry, Arissi Puttu Rice Flour Coconut",Spicy foods,"Vitamin E, Vitamins A C B1",A+: Focus on lighter proteins like tofu,summer,Monsoon hydration
West Bengal,East,cramps,"Vegetable Rice, Spinach Methi Greens, Plenty of Water","Cold foods, Cabbage","Omega-3, Protein",A+: Focus on lighter proteins like tofu,summer,Soups with spices
Odisha,East,cramps,"Sesame Seeds Nuts, Hot Tea","Sugarcane, Milk products in excess",Fiber,A+: Focus on lighter proteins like tofu,summer,Leafy greens for iron
Jharkhand,East,heavy bleeding,"Sarkkarachoru, Raw Banana Soup",Cabbage,"Potassium, Vitamin C",AB+: Balance with fermented foods,winter,Warm tapioca dishes
Assam,Northeast,heavy bleeding,"Tea with Ghee, Raw Banana Soup, Karupettikurukku Black Sesame Preparation","Non-veg, Milk","Fiber, Omega-3, Magnesium",B+: Emphasize whole grains and vegetables,winter,Pair with vitamin C fruits
Delhi,North,pain,Lentils Dal,Milk products in excess,"Vitamin C, Phytoestrogens, Potassium",O+: Increase iron intake from leafy greens and lentils,summer,Avoid tamarind-based curries
Haryana,North,cramps,"Ragi Porridge, Finger Millet Idli Ragi",Milk,Potassium,O+: Increase iron intake from leafy greens and lentils,summer,Seasonal fruits for vitamin C
Punjab,North,heavy bleeding,"Parupu Urundai Toor Dal Balls, Plenty of Water","Chicken, Cabbage","Vitamin C, Omega-3",B+: Emphasize whole grains and vegetables,summer,Coconut water
Himachal Pradesh,North,bloating,Dark chocolate,"Curd, Carbonated drinks","Antioxidants, Omega-3",A+: Focus on lighter proteins like tofu,summer,Urban access to fresh produce
Jammu & Kashmir,North,pain,"Light Fish Curry, Lentils Dal",Milk,"Calcium, Phytoestrogens, Folate",AB+: Balance with fermented foods,winter,Monsoon hydration
Kerala,South,fatigue,"Spinach Methi Greens, Dal with Greens, Avilvilayichathu Rice Flakes Mixture",Carbonated drinks,Iron,A+: Focus on lighter proteins like tofu,winter,Local affordable greens
Tamil Nadu,South,heavy bleeding,Arissi Puttu Rice Flour Coconut,Rice,"Protein, Zinc",O+: Increase iron intake from leafy greens and lentils,summer,Local affordable greens
Karnataka,South,fatigue,Black Sesame with Cane Sugar,"High salt, Milk products in excess","Antioxidants, Calcium",O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Andhra Pradesh,South,pain,"Ragi Porridge, Ulunthu Kali Urad Dhal Porridge, Spinach Methi Greens",Potatoes,"Phytoestrogens, Zinc",O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Telangana,South,fatigue,"Lentils Dal, Tea with Ghee",Heavy fats,"Vitamin C, Zinc",AB+: Balance with fermented foods,winter,Hot beverages for warmth
Maharashtra,West,fatigue,Arissi Puttu Rice Flour Coconut,Onion,Vitamins A C B1,B+: Emphasize whole grains and vegetables,winter,Prefer warm sesame seed soups
Gujarat,West,fatigue,"Ragi Porridge, Banana",Heavy fats,"Zinc, Antioxidants",O+: Increase iron intake from leafy greens and lentils,summer,Hydration focus
Rajasthan,West,heavy bleeding,"Uluva Verakiyath Fenugreek Porridge, Cucumber Coconut Water","Spicy foods, Onion","Calcium, Vitamin C, Vitamin E",B+: Emphasize whole grains and vegetables,winter,Warm tapioca dishes
Madhya Pradesh,Central,fatigue,"Ulunthu Kali Urad Dhal Porridge, Tea with Ghee","High salt, Pickles","Vitamin E, Caffeine",AB+: Balance with fermented foods,winter,Local affordable greens
Uttar Pradesh,North,cramps,"Cucumber Coconut Water, Spinach Methi Greens, Light Fish Curry",Milk products in excess,"Magnesium, Phytoestrogens, Antioxidants",O+: Increase iron intake from leafy greens and lentils,summer,Local affordable greens
Bihar,East,bloating,Cucumber Coconut Water,"Milk, Non-veg","Fiber, Phytoestrogens",B+: Emphasize whole grains and vegetables,summer,Hot beverages for warmth
West Bengal,East,heavy bleeding,"Avilvilayichathu Rice Flakes Mixture, Karupettikurukku Black Sesame Preparation, Leafy Greens",Sour foods,Vitamin E,AB+: Balance with fermented foods,winter,Hydration focus
Odisha,East,heavy bleeding,"Karupettikurukku Black Sesame Preparation, Uluva Verakiyath Fenugreek Porridge, Lentils Dal","Red meat, Tamarind",Fiber,B+: Emphasize whole grains and vegetables,winter,Cucumber and hydration focus
Jharkhand,East,cramps,"Finger Millet Idli Ragi, Parupu Urundai Toor Dal Balls","Onion, Milk",Vitamins A C B1,O+: Increase iron intake from leafy greens and lentils,summer,Include vallarai leaves for energy
Assam,Northeast,fatigue,"Peppermint water, Spinach Methi Greens, Ragi Porridge",Sugarcane,Iron,O+: Increase iron intake from leafy greens and lentils,winter,Prefer warm sesame seed soups
Delhi,North,heavy bleeding,"Peppermint water, Parupu Urundai Toor Dal Balls, Ragi roti",Rice,"Iron, Potassium, Zinc",A+: Focus on lighter proteins like tofu,summer,Monsoon hydration
Haryana,North,heavy bleeding,Dal with Greens,"Curd, Sour foods",Zinc,A+: Focus on lighter proteins like tofu,winter,Seed mixes
Punjab,North,heavy bleeding,Millets Bajra Porridge,Heavy fried foods,"Fiber, Omega-3",AB+: Balance with fermented foods,winter,Soups with spices
Himachal Pradesh,North,bloating,"Palm Jaggery Porridge, Arissi Puttu Rice Flour Coconut, Tea with Ghee",Chicken,"Vitamin E, Iron, Vitamins A C B1",AB+: Balance with fermented foods,summer,Monsoon hydration
Jammu & Kashmir,North,bloating,"Seem Paal Bovine Colostrum, Finger Millet Idli Ragi","Heavy fats, Onion",Omega-3,A+: Focus on lighter proteins like tofu,summer,Include vallarai leaves for energy
Kerala,South,cramps,"Light Fish Curry, Peppermint water","Processed foods, Lassi","Vitamin C, Magnesium, Protein",O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Tamil Nadu,South,bloating,"Vegetable Rice, Hot Tea",Pickles,Caffeine,O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Karnataka,South,pain,"Sesame Seeds Nuts, Seem Paal Bovine Colostrum, Raw Banana Soup","High salt, Milk","Fiber, Folate",AB+: Balance with fermented foods,summer,Hot beverages for warmth
Andhra Pradesh,South,heavy bleeding,"Finger Millet Idli Ragi, Leafy Greens, Ulunthu Kali Urad Dhal Porridge","Spicy foods, Sour foods",Vitamin C,O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Telangana,South,heavy bleeding,Cucumber Coconut Water,Potatoes,Magnesium,B+: Emphasize whole grains and vegetables,winter,Include vallarai leaves for energy
Maharashtra,West,bloating,"Plenty of Water, Parupu Urundai Toor Dal Balls","Potatoes, High salt",Caffeine,A+: Focus on lighter proteins like tofu,summer,Include vallarai leaves for energy
Gujarat,West,heavy bleeding,"Leafy Greens, Black Sesame with Cane Sugar, Peppermint water",Processed foods,"Zinc, Vitamins A C B1",A+: Focus on lighter proteins like tofu,summer,Warm spices for digestion
Rajasthan,West,bloating,"Lentils Dal, Finger Millet Idli Ragi",Tamarind,"Magnesium, Fiber",O+: Increase iron intake from leafy greens and lentils,winter,Add coconut water for hydration
Madhya Pradesh,Central,cramps,Millets Bajra Porridge,"Non-veg, Chicken",Antioxidants,A+: Focus on lighter proteins like tofu,summer,Leafy greens for iron
Uttar Pradesh,North,heavy bleeding,"Raw Egg Yolk with Sesame Oil, Leafy Greens",Potatoes,Vitamin E,AB+: Balance with fermented foods,summer,Cucumber for hydration
Bihar,East,pain,"Ragi roti, Raw Banana Soup","Onion, Milk products in excess",Vitamin E,A+: Focus on lighter proteins like tofu,summer,Local affordable greens
